Appt,Name,Charity,Registered Number,Date
A343,T6737168060272965209,Irish Skin Foundation,20078706,2017-07-01
A344,T4096600861230291296,Saint Patrick's National School-Drogheda,20023232,2016-09-01
A345,T4987024172435966119,Sn M An Croi Gan Smal,20122348,2019-12-05
A346,T2605590006219941275,Roscommon Home Services Co-operative Ltd,20056827,1995-05-31
A347,T8275471541898492136,Irish Primary Principals' Network Limited,20063634,2014-11-13
A348,T4012313028235448598,Glenbeg N S,20136598,2015-12-01
A349,T7771883679665337220,Saint Peters Schools and Mrs. Wrays Schools.,20002213,1966-11-01
A350,T3199701322673210820,Captain Francis O'Neill Memorial Limited,20043377,1999-06-09
A351,T274940126058079405,Dal Riada Language Centre Limited,20032982,2015-09-15
A352,T3346426468058487748,Saint Peters Schools and Mrs. Wrays Schools.,20002213,1984-09-01
A353,T2640833857327519876,Cystic Fibrosis Registry of Ireland,20065638,2011-07-08
A354,T6140665810019545681,Abbeycarton Ns,20134037,2015-12-04
A355,T662302184396540345,Irish Red Cross Society,20005184,2015-07-25
A356,T1114397978494777097,Endometriosis Association Of Ireland,20021672,2014-07-17
A357,T6534284221902253010,Glenealy Village Hall (Carnegie Trust) Company Limited by Guarantee,20038960,2009-09-08
A358,T7150164816763694012,Offaly Heritage Centre Limited,20025953,2011-01-01
A359,T825195178448902229,Leinster Printmaking Studio Limited,20037499,2009-02-01
A360,T2022702005561658344,2nd Ray Presbyterian Church- Manorcunningham.,20000561,2001-02-04
A361,T5355146702488600187,Missionaries of Africa (white Fathers) Company Limited by Guarantee,20008864,2016-07-28
A362,T9060177858512459037,Leitrim Arts Development Ltd,20060565,2007-06-27
A363,T580147190732032216,Ballintrillick Environmental Group Company Limited by Guarantee,20035112,1995-11-29
A364,T1144133956519879495,Glenmaquin No 2 N S,20114794,2014-09-01
A365,T3080737347229122242,Sn M An Croi Gan Smal,20122348,2019-12-12
A366,T7441003826537797949,Canteen Ireland,20032180,2015-09-15
A367,T301866098803490891,Enable Ireland Sandymount School,20139711,2017-11-30
A368,T6185021411647074313,Saint Patrick's National School - Crossmolina.,20018306,2015-12-07
