Name,Charity,Registered Number,Date
T7260075858064121617,Saint Peter's National School - Drogheda.,20018504,2015-11-17
T3724038696058724889,Ennis N S,20110536,2018-07-13
T3329090024160467206,Glengoole Community Development Association Ltd,20056421,2003-03-05
T2063854646556671430,Dalkey Meals-On-Wheels,20014148,2016-05-31
T4761261153268787780,Daingean Community Childcare Services Limited,20059767,2015-05-12
T3097222883202623592,Glin Day Care Centre Limited,20074395,2012-12-01
T4433419637111778446,Roscommon S P C A,20072735,2017-10-12
T757444680012692344,Saint Philomena's National School,20019310,2015-12-01
T6973590030464018444,Rooskey N S,20133207,2015-12-08
T791689815986530838,Glenbrohane Community Association,20141790,2015-01-01
T2504202797852181411,Ennis Book Club Festival CLG,20153748,2017-11-16
T8298029068854393668,Offaly Association for People with an Intellectual Disability,20017279,1990-01-01
T3357178225839146391,Glin Homes for the Elderly Limited,20052126,2012-01-23
T4531100361025371460,Milltown Community Care Association,20026219,2000-11-01
T8536284362080250240,Abbey Vocational School - Parents Association,20017286,2015-10-04
T6552920445155865563,Ballybay Cancer Society,20076085,2011-01-31
T4076820227539262924,Leitrim Association For People With Disabilities,20034283,2007-03-28
T6526688683638092408,Offaly Association for People with an Intellectual Disability,20017279,2010-06-28
T122508901331036550,Oatlands College,20144999,2018-10-01
T3766077038847972148,Glenswilly N S,20116132,2011-11-23
T5943107369837430517,3 T'S Limited,20054878,2004-11-01
T7737700784278171923,Capuchin Provincial Account.,20009434,2019-08-01
T3252298043628355659,Miniature Schnauzer Rescue Ireland,20106256,2016-06-24
T385410094501616121,Sn Mhic Dara,20122614,2015-11-26
T8854837185647365978,Endometriosis Association Of Ireland,20021672,2009-10-01
T3839731181517794672,Irish Scouting Fellowship,20080846,2015-12-16
T127719696828170161,Ballybay Central NS,20132460,2016-02-09
T8280089657471216563,Carbery Housing Association Company Limited by Guarantee,20048174,2013-08-28
T6484064248515102212,St. Joseph's National School (Miltown Malbay),20102302,2015-12-09
T4868246071426830827,Sn Sailearna,20121082,2011-11-28
T3321393012706926204,Sn Sailearna,20121082,2015-08-14
T140173462209367076,C.b.s. Secondary School,20146184,2014-11-13
T6217067651531451784,Global Action Plan CLG,20053338,2019-06-24
T1216040332941630888,80:20 Educating And Acting For A Better World Limited,20034221,2019-03-26
T32826740502979345,Irish Primary Principals' Network Limited,20063634,2014-11-13
T750514783279188878,Cappoquin Red Bridge Company Limited,20076603,2011-02-03
T8109027056127002954,Sn Paroiste Maitiu Nfa,20117139,2015-11-19
T3310682943928207737,St. Joseph's National School (Miltown Malbay),20102302,2015-12-09
T8935579191680926757,Clontubrid Mixed N S,20125356,2019-12-01
T3150980351839011958,A Sense of Cork Mid-Summer Arts Festival Limited,20075514,2011-04-11
T7949018486419705826,Roscommon Safe Link Limited,20077518,2011-06-13
T2928911518026678232,Glengurt N S,20127251,2015-12-01
T485982514424209638,C.B.S.,20148287,2015-10-15
T1368122917096931546,Abbeydorney/Kilflynn Family Resource Centre Limited,20074968,2008-03-05
T8161390292905698993,C.J. Kickham Band Limited,20048624,2016-04-25
T960197742647579979,Glenbeg N S,20136598,2015-12-01
T8437636144593648857,Energy Action Limited,20024109,2015-07-22
T6615490218062107459,Saint Philips Church - Milltown.,20003104,2018-03-15
T5218724819238683842,Dalkey Meals-On-Wheels,20014148,2013-05-08
T8998116748169454080,Saint Philips Church - Milltown.,20003104,2017-04-04
T2662868388946475214,Oesophageal Cancer Research Fund,20047726,2001-08-01
T3633998369573419076,Cloonfad N S,20133535,2016-11-01
T5025402637317103769,Legan Community Childcare Limited,20060763,2012-08-01
T2171265437146892764,Irish Skin Foundation,20078706,2011-01-17
T2410052239006609669,Saint Ultan's Childcare Project Limited,20070038,2015-07-14
T2962373156700802994,Offaly School Of Special Education,20140588,2015-12-01
T4060284661629098128,Clonmel Union,20006983,2016-12-15
T5884025278107245611,Offaly Society For The Prevention Of Cruelty To Animals Limited,20033828,2009-07-01
T8623777592171498662,CAP - Care After Prison Company Limited by Guarantee,20081003,2014-01-01
T6168106943114319217,Sn Paroiste Maitiu Nfa,20117139,2015-11-19
T340609586991824408,Ronald McDonald House Charities (IRL),20037000,2017-06-20
T2083366345348858625,Sn Naomh Proinnsias,20130312,2015-12-01
T8076967471330828729,Ballinteer Community School,20148836,2014-08-01
T7765841994316301711,Cloonloo Development 2000 Limited,20051273,2000-08-23
T8205867950052964837,Milltown Community Council Limited,20034832,1996-10-14
T3141779809536937599,Leinster Quarterly Meeting Educational Committee.,20000950,2009-11-04
T8868740115664544881,Glenealy I.T. Centre Limited,20042882,1998-10-21
T8868740115664544881,Glenealy Village Hall (Carnegie Trust) Company Limited by Guarantee,20038960,2009-09-08
T7425279166819684252,Glenbeg N S,20136598,2014-09-01
T1008787136587831228,Ballinteer Educate Together NS,20082710,2019-12-10
T7111193283838438004,Cardiac Risk in the Young in Ireland Limited,20047511,2016-05-31
T7305648080919815981,Roscommon Home Services Co-operative Ltd,20056827,1995-05-30
T7678812972442548410,Offaly Money Advice and Budgeting Service Limited,20055745,2012-07-18
T6413417382516066124,Irish Skin Foundation,20078706,2017-07-01
T1690360854240321108,Saint Patrick's National School-Drogheda,20023232,2016-09-01
T6266288429109109814,Sn M An Croi Gan Smal,20122348,2019-12-05
T7842872397779694175,Roscommon Home Services Co-operative Ltd,20056827,1995-05-31
T8056964520960417160,Irish Primary Principals' Network Limited,20063634,2014-11-13
T2927463003955154079,Glenbeg N S,20136598,2015-12-01
T5226429636439698353,Saint Peters Schools and Mrs. Wrays Schools.,20002213,1966-11-01
T3332887167142577026,Captain Francis O'Neill Memorial Limited,20043377,1999-06-09
T5182717384734826824,Dal Riada Language Centre Limited,20032982,2015-09-15
T7335290568965657992,Saint Peters Schools and Mrs. Wrays Schools.,20002213,1984-09-01
T5026196167720168674,Cystic Fibrosis Registry of Ireland,20065638,2011-07-08
T3740657669318092197,Abbeycarton Ns,20134037,2015-12-04
T6537481080198332370,Irish Red Cross Society,20005184,2015-07-25
T4405020395607866431,Endometriosis Association Of Ireland,20021672,2014-07-17
T4505179142904038115,Glenealy Village Hall (Carnegie Trust) Company Limited by Guarantee,20038960,2009-09-08
T808504515072424708,Offaly Heritage Centre Limited,20025953,2011-01-01
T798228500044489593,Leinster Printmaking Studio Limited,20037499,2009-02-01
T973058281413503240,2nd Ray Presbyterian Church- Manorcunningham.,20000561,2001-02-04
T9087101582591854699,Missionaries of Africa (white Fathers) Company Limited by Guarantee,20008864,2016-07-28
T2780672917682416459,Leitrim Arts Development Ltd,20060565,2007-06-27
T2302972996454500561,Ballintrillick Environmental Group Company Limited by Guarantee,20035112,1995-11-29
T5695705153103503294,Glenmaquin No 2 N S,20114794,2014-09-01
T1245222935272517041,Sn M An Croi Gan Smal,20122348,2019-12-12
T3280084413369556011,Canteen Ireland,20032180,2015-09-15
T7665611034871725262,Enable Ireland Sandymount School,20139711,2017-11-30
T8269550641727619548,Saint Patrick's National School - Crossmolina.,20018306,2015-12-07
T7893387686585923375,Milltown Community Care Association,20026219,2000-11-01
T7893387686585923375,Milltown Housing Association Limited,20038397,2002-06-20
T8246344171631771070,Cara House Family Resource Centre Ltd,20075651,2010-01-14
T1165260638110454643,Leenane Development Association Limited,20083946,2013-09-26
T6130133524624744202,Irish Seed Saver's Association Ltd,20045029,2018-08-08
T3502408877204804987,Leitrim Animal Welfare,20045357,2003-04-04
T8804166059934364889,Clonmel Community Parent Support Programme,20045227,2012-06-13
T4717267435290983905,Cappatagle Central Sch,20122522,2015-12-10
T5066423666842229175,Global Action Plan CLG,20053338,2018-10-22
T1962589959725419425,Cloonbonnif N S,20133252,2015-12-01
T1412242807597001603,Irish School Of Ecumenics,20009359,2015-05-19
T1531726383138046424,Lebanon Trust (Ireland) Helping Children,20074449,2010-03-10
T8322666232222259435,Glendalough and District Development Association,20039318,1998-01-13
T1535287994550232787,ABACAS Kilbarrack School Parents Group,20048037,2011-10-18
T551418630937620865,Clonmult Community Co-Op Society Limited,20023508,2011-11-11
T7024865323373391061,Ennis Book Club Festival CLG,20153748,2017-11-16
T79905522354878355,Ballintrillick Environmental Group Company Limited by Guarantee,20035112,2013-11-30
T6326531950466550644,Cloonfour N S,20133337,2017-10-26
T8228455026314083127,Rosary College,20145811,2016-10-24
T9079199950128209205,Oaklee Housing,20044589,2018-12-11
T5445297118595403648,Sn Mhic Dara,20122614,2015-11-26
T4495953523687215623,Sn Na Leanai,20136642,2016-09-03
T7407250808514971535,Irish Rule of Law International,20073541,2011-06-07
T5385558602343344016,Cara Cancer Support Centre,20083588,2017-12-20
T8397897169741480848,Ballybunion Community Centre Limited,20021320,2016-11-13
T5716383049367400917,Caragh N S,20124816,2015-12-10
T5723132142577371553,Caragh N S,20124816,2015-12-10
T8699344098345805906,Capacitar Ireland Limited,20059811,2015-02-14
T1766307646958030348,Glenmaquin No 2 N S,20114794,2015-12-02
T138004328252827682,Irish Red Cross Society,20005184,2014-05-24
T209014193411720490,Irish Second-Level Students' Union CLG,20141868,2012-04-13
T8886063351776346711,Damer And Fortick Charity,20003074,2009-06-19
T8886063351776346711,Damer & Fortick Residential Services Limited,20072728,2009-06-19
T8003485392946130796,Saint Wolstans Community School,20013882,2019-11-21
